id,name,type,interest_area,description,date,organizer,tags
EVT001,AI Hackathon 2024,Hackathon,AI/ML,"Build AI solutions in 24 hours","2024-09-15",AI Club,"hackathon,ai,ml,competition"
EVT002,Web Dev Bootcamp,Workshop,Web Dev,"3-day intensive React/Node workshop","2024-09-20",Tech Society,"workshop,react,nodejs,fullstack"
EVT003,Data Science Summit,Conference,Data Science,"Annual data science conference with industry experts","2024-10-05",Data Club,"conference,data,analytics,networking"
EVT004,Google Developer Fest,Meetup,Technology,"Google tech talks and demos","2024-10-12",GDG Campus,"google,flutter,firebase,android"
EVT005,Finance & Investment Club,Club,Finance,"Weekly discussions on markets and investments","Recurring",Finance Club,"finance,investment,stocks,markets"
EVT006,Startup Weekend,Competition,Entrepreneurship,"54-hour startup building competition","2024-10-20",E-Cell,"startup,entrepreneurship,pitch,business"
EVT007,Cybersecurity CTF,Competition,Cybersecurity,"Capture the Flag security challenge","2024-11-01",Sec Club,"ctf,security,hacking,competition"
EVT008,Design Sprint Workshop,Workshop,Design,"Product design sprint methodology","2024-11-08",Design Club,"design,ux,sprint,figma"
EVT009,Open Source Contribution Day,Community,Open Source,"Contribute to real open source projects","2024-11-15",OSS Club,"opensource,github,community,coding"
EVT010,Career Fair 2024,Career,Career Development,"200+ companies recruiting on campus","2024-11-22",Placement Cell,"career,jobs,internships,networking"
EVT011,ML Paper Reading Group,Academic,AI/ML,"Weekly paper discussions on latest ML research","Recurring",Research Cell,"research,papers,ml,ai"
EVT012,Blockchain & Web3 Summit,Conference,Blockchain,"DeFi, NFTs, and Web3 future","2024-12-01",Crypto Club,"blockchain,web3,defi,crypto"
EVT013,Product Management Masterclass,Workshop,Product,"PM interview prep and case studies","2024-12-05",PM Club,"product,pm,cases,strategy"
EVT014,Photography & Visual Storytelling,Cultural,Arts,"Learn DSLR photography and editing","2024-12-10",Photography Club,"photography,art,creative,editing"
EVT015,International Cultural Festival,Cultural,Culture,"Celebrate global cultures with food and performances","2024-12-20",Cultural Committee,"culture,international,food,music"
CLB001,AI/ML Research Club,Club,AI/ML,"Research and implement cutting-edge AI","Recurring",Faculty Advisor,"ai,ml,research,papers"
CLB002,Competitive Programming,Club,Computer Science,"Practice DSA and participate in contests","Recurring",CS Department,"competitive,dsa,algorithms,codeforces"
CLB003,Entrepreneurship Cell,Club,Entrepreneurship,"Mentorship, funding, and startup incubation","Recurring",Industry Mentors,"startup,funding,mentorship,business"
CLB004,Social Impact Tech,Club,Social Good,"Tech for social change projects","Recurring",NGO Partners,"social,impact,volunteering,tech"
CLB005,Quant Finance Club,Club,Finance,"Quantitative modeling and trading strategies","Recurring",Finance Faculty,"quant,finance,trading,python"
